bid,sum
104083,Sanctuary is about the challenges faced in a hidden refuge after an apocalypse.
19095025,Play is about the world of theatrical performance and the art of play.
196783,Xombies is a book about the undead.
27,Neither Here Nor There explores diverse landscapes and cultures of Europe.
13545075,UnWholly explores a corrupt society's consequences of human experimentation.
391081,Another Place at the Table examines foster care and adoption in the US.
13270,"""Peri poietikes"" explores the art of poetry."
15818164,"""The Blood Gospel"" uncovers the secrets of a sacred manuscript, revealing a battle against sinister forces."
15820492,Annabel is about a girl's journey of self-discovery and empowerment.
2806829,A Case of Identity is a mystery novel.
3407703,Starclimber is a thrilling science fiction novel about a young astronaut's daring mission to reach the stars.
2920825,Fairy Tail 3 continues the adventures of the beloved characters.
14142,"The Art of Loving explores love's complexities and importance, offering practical advice and fresh perspective."
53423,Historias de cronopios y de famas is a collection of imaginative and whimsical stories about eccentric characters.
11953465,"""Heller"" is a tense thriller exploring a complex protagonist."
62812,"""Honba"" is a gripping tale exploring love, friendship, and self-discovery."
17204568,"Crazy Little Thing explores the unpredictable nature of love, delving into passion, heartbreak, and resilience."
6718371,How to Knit a Love Song is a guide on crafting love songs through knitting.
843550,"Shrek! is a heartwarming tale of an unlikely hero, a lovable ogre on a humorous quest to find acceptance and friendship."
376514,The Manchurian Candidate is about a brainwashed American assassin.
1432640,The Juror is a gripping legal thriller.
4652,"""In Our Time"" explores early 20th century themes through short stories."
12872236,"Canada is a comprehensive exploration of the diverse nation's history, culture, geography, and society."
64028,Dark Celebration delves into darkness and celebration.
14680,La Chartreuse de Parme is a novel by Stendhal.
4916680,"The Mammoth Book of Paranormal Romance is a collection of captivating stories exploring fantasy, love, and supernatural encounters."
1887035,"Any Known Blood is a multigenerational family saga exploring race, identity, and complex family dynamics."
75003,The Secret Island is about children discovering a hidden island and going on an extraordinary adventure.
13480192,Back to Blood is a novel.
23315843,"""La Fête de l'insignifiance"" explores the meaninglessness of life in modern-day Paris through a group of friends."
131697,The Hermit of Eyton Forest is a mystery.
131693,A House for Hermit Crab follows a hermit crab's quest for a new home.
4545718,Warriors Princess is about a brave princess's fight to reclaim her kingdom.
924848,The Shrine is about a captivating journey entangled with the secrets of an ancient civilization.
319639,Megan's Mark is an intriguing mystery filled with suspense and unexpected twists.
12640578,Team Human explores technology's impact on human relations and emphasizes the preservation of our humanity.
7632696,"""The Cookbook Collector"" is about two sisters and their obsession with cookbooks, exploring themes of love, ambition, and pursuing passions."
12953856,True Sisters explores the bond and challenges of sisterhood.
384356,Warlord is about a powerful warlord navigating a treacherous world of intrigue.
364956,ONE PIECE 2 is about the journey of Monkey D. Luffy and his crew searching for the One Piece treasure.
2484425,"""Save the Date"" is about the preparations for a crucial event."
7192155,"The Perfect Murder is about an intricately planned killing, meticulously executed to achieve the perfect crime."
9909301,Girl in the Mirror explores self-discovery and personal growth.
364141,The Dream of a Common Language is about thought-provoking poems exploring shared language's impact on dreams and aspirations.
81196,Traité d'athéologie explores physics and metaphysics from an atheistic perspective.
17345190,The Minor Adjustment Beauty Salon is about beauty salon activities.
64725,A World Out of Time delves into time travel's effect on society.
61986,Jack of Shadows is a fantasy novel.
8597949,Notorious Pleasures is about the scandalous Regency aristocratic society.
11026715,"""If I Should Die"" is a suspenseful thriller with unexpected twists and turns."
7328725,"""Deeply, Desperately"" explores love, loss, and resilience in the pursuit of happiness."
2033025,Le Rivage des Syrtes is a book about an unspecified topic.
7976897,Horse Dancer explores a dancer's profound bond with horses.
395851,The Struggle is a story of overcoming challenges.
46064,"The Diary of Anais Nin, 1931-1934 is a personal account of her life during those years."
20454107,"Coma explores comas, human mind limits, and consciousness depth in a thrilling medical narrative."
37438,Hokkaido Highway Blues is about hitchhiking adventures in northern Japan.
368772,The Caine Mutiny is about a US Navy ship and its crew during World War II.
18635113,"""Elizabeth Is Missing"" explores a protagonist's search for her missing friend amidst her declining memory."
106124,The Dragonslayer follows the Bone cousins on a dangerous journey full of mythical creatures and challenging quests.
88072,Agent to the stars is a sci-fi novel by John Scalzi.
8140995,"Alone: Orphaned on the Ocean is a true story of Terry Jo Duperrault, the lone survivor of a terrifying ordeal at sea."
6757893,"The Inside Story reveals a life-altering mystery, exposing a hidden realm of secrets and deceit among a tight-knit group."
13399107,Larjungen is a thought-provoking book.
22571552,So You've Been Publicly Shamed explores the impact of modern public shaming on individuals and society.
25404499,Sutphin Boulevard is about lives intersecting in a diverse neighborhood.
77797,The Book of Secrets is about mysterious hidden knowledge and enigmatic wisdom.
43781,"""Merrick"" is about a captivating life."
31342,Vittorio the Vampire explores the enchanting world of a young vampire.
88890,"""1876"" is a novel examining the US in the centennial year."
33670561,The Destruction of Hillary Clinton explores Hillary Clinton's downfall in the 2016 election.
3679,On Beauty explores modern society's complexities of beauty and identity.
68455,"""Wieza Jaskolki"" is a captivating mystery filled with intrigue."
13289506,A Sunless Sea is a mysterious novel.
317697,"The Missing is a thrilling detective search for a disappeared person, revealing secrets and deception."
15967,The Falls is about a family's tumultuous life near a captivating waterfall.
45256,"""The Nano Flower"" explores nanotechnology's remarkable advancements in a futuristic setting."
21466317,Central Park is about the famous urban park in New York City.
5088467,"""Cape Storm"" is a thrilling adventure about a protagonist battling dangerous weather anomalies and sinister forces."
25458371,The Loney is about two brothers discovering unsettling secrets during a religious pilgrimage.
29925,Gods and Generals is about the American Civil War from 1861 to 1863.
16248179,"""If You Were Here"" contemplates longing and nostalgia, while examining the significant bonds that shape us."
130115,"""The Grass is Singing"" explores race, power, and isolation."
18990,The Honourable Schoolboy is a thrilling novel.
28763,"""Glos pana"" is a book."
18528421,"Before We Kiss is about two individuals facing a life-changing moment, navigating their complex emotions and the uncertainties of love."
18371645,"When We Met is about an unexpected encounter, leading to love, friendship, and self-discovery."
43334,"""We'll Meet Again"" is about love, loss, and resilience in a war-torn world."
127515,The Body Snatchers explores the sinister world of body snatchers as survivors fight to uncover the truth and stay human.
7145258,"""Deceiver"" explores the intricate realm of deception."
8805443,"""The Sentry"" is a suspenseful and mysterious novel."
1079971,Good as Lily is a graphic novel under Minx imprint.
247091,Master of Desire is about a charismatic man who enthralls others with his charm and leads them into a passionate world of secrets and romance.
459824,Sepulchre is a mysterious novel with supernatural elements.
95429,Leaving Microsoft to Change the World is about an entrepreneur's mission to educate children globally.
95431,"Preacher is about a perilous quest to locate God, facing supernatural obstacles and deadly foes."
12823428,"Samurai Game is about a skilled samurai's journey through feudal Japan, facing dangerous allies, enemies, and protecting his family."
423125,The African Queen is about the adventures of a British woman and a Canadian man in Africa during WWI.
129356,"""Ghost Rider: Travels on the Healing Road"" explores self-discovery and healing through a motorcycle journey."
15003,Rape: A Love Story explores tragic complexities.
1591,Lusistrate is about a young woman's journey of self-discovery and personal growth.
23848002,"Born of Betrayal examines the aftermath of betrayal, highlighting human resilience."
19000898,The Dinosaur Lords is about knights fighting battles on dinosaurs.
8533018,The Scottish Prisoner is a thrilling historical novel filled with political intrigue and danger.
102458,"Hellboy: Seed of Destruction follows Hellboy's gripping and dark paranormal adventures, battling sinister creatures and uncovering hidden secrets."
6686101,Plague is about a deadly global epidemic and the struggle for survival and a cure.
2211221,Nothing to Lose is a thrilling journey of resilience and redemption.
22895696,The Whites is about retired NYPD detectives haunted by an unsolved case.
107664,Raven's Gate is a suspenseful novel where a young boy discovers a perilous gateway to a world of supernatural threats.
13088498,"""Nerve"" explores an intense and perilous game that pushes players to their extremes."
69169,God Stalk is a novel.
8758313,Touch Me Gently delves into intimate connections.
13167156,"""Spy The Lie"" teaches readers to detect deception using CIA insights."
1046450,"""The Wheel of Fortune"" is a gripping tale of thrilling twists and turns."
225227,Joey Pigza Loses Control is about a boy named Joey who battles impulsivity and emotional control.
7268566,"""The Fire Lord's Lover"" is a captivating tale of forbidden desires, political intrigue, and intense romance."
889859,Wonder's Promise continues the Thoroughbred series.
385742,"Gregor and the Prophecy of Bane is about a boy exploring a dangerous underworld, fulfilling his destiny."
24612233,The Master Algorithm explores the quest for a transformative learning machine.
77837,A Good Man in Africa follows a British diplomat in an African country.
28862254,White Sand is an intriguing desert world filled with power struggles and secrets.
16707,"Wonder Boys explores the struggles of a gifted writer dealing with writer's block, failed relationships, and poor choices."
34738762,The Difference Between Us explores human disparities and experiences.
383018,"""Arms and the Man"" is a play by George Bernard Shaw."
80760,Passion explores intense emotions driving towards desires/goals.
15981894,"Devoured is a dark psychological thriller depicting the intense battle between a relentless killer and a determined detective, leading to a shocking climax."
183742,The Animals of Farthing Wood follows a group of animals on a perilous journey to find a new home amidst human development.
24093,Street Magic reveals the thrilling world of urban sorcery and the perils faced by its protagonist.
22370991,J is about a thrilling journey sparked by a mysterious letter.
20579281,"The Wonder of All Things explores extraordinary abilities amid human fragility, love, and sacrifice."
34473,Yin Yi Li Zan is an exploration of Japanese tea ceremony through a dedicated practitioner.
1249095,"The Logic of Life explores rational decision-making in various aspects of our lives, revealing the underlying logic behind human behavior."
12528745,Tempt the Stars examines the allure of temptation.
2111775,The Dirt on Clean explores the historical significance of cleanliness.
4339191,This book does not have a title.
6773432,Time Riders is a thrilling sci-fi novel with time travel.
95963,"Alice, Let's Eat is about the joyful exploration of food and dining."
334078,"Max Perkins: Editor of Genius delves into the remarkable life of Max Perkins, a renowned editor who shaped the works of iconic American writers."
5598960,"""Sea Change"" is about personal transformation and adaptation."
13265293,Hidden is a suspenseful thriller with secrets and twists.
110290,"Sotah is a book exploring loyalty, betrayal, and redemption."
41702,"""The Navigator"" is a thrilling journey of a young adventurer in search of a hidden treasure."
327775,"""Batrakhoi"" explores human nature and societal power dynamics."
16096968,The Core is about scientists saving humanity from Earth's impending disaster.
11378763,The Book of Blood and Shadow reveals a powerful ancient manuscript that alters the lives of a group of friends.
31106,"Second Chance is about redemption, resilience, and personal growth."
289663,Gideon's Gift is a story of hope and redemption.
304687,"""To Reign in Hell"" delves into power struggles and loyalty in heaven."
142545,The Stone Monkey is a thrilling investigation of deadly crimes and a race against time.
926908,Leven en werken van de Kabouter is an exploration of gnome lifestyles and their daily activities.
389633,My Pants Are Haunted is a humorous and suspenseful story about a pair of supernatural pants.
29771527,Summerlong explores complex relationships and hidden secrets of an idyllic summer.
32441,The Good Guy is about a man facing a moral dilemma in unexpected circumstances.
9505561,Lord of Misrule explores power and chaos in a dark and gritty world.
143877,Freedom from the Known is about finding personal liberation and self-discovery by breaking free from established patterns and beliefs.
130970,The Secret Book of Grazia dei Rossi delves into the mysterious tales and concealed wisdom of Grazia dei Rossi.
61906,The Warrior's Apprentice is about a young warrior-in-training's journey filled with action and adventure.
207585,Doctor Strange: The Oath follows the extraordinary journey of Doctor Strange as he battles darkness and embarks on a magical quest to save a dying friend.
32456,Darkfall is a thrilling novel of suspense.
478951,The Bonehunters is about a book.
175983,Memories of Ice is a fantasy novel.
290112,Lady Sings the Blues chronicles a musician's life and career.
538605,Hercule Poirot: The Complete Short Stories is a collection of all the famous detective's short stories.
18089877,World Gone By explores the repercussions of a shifting world.
140314,"""Qui a tué Roger Ackroyd?"" is a mystery novel by Agatha Christie."
500503,Bishojo Senshi Sailor Moon 1 is the introduction to the popular manga series.
298568,Night of the Soul Stealer is a thrilling supernatural journey.
25938481,The Genius of Birds explores birds' remarkable intelligence and problem-solving skills.
5421978,"Distant Waves is about the Titanic told through the stories of five sisters, revealing secrets, love, and tragedy."
246546,"""An Old-Fashioned Girl"" explores Victorian-era lives and friendships of two young women."
160149,"""The Call of Cthulhu and Other Weird Stories"" is a collection of disturbing tales that explore the depths of the human mind, featuring cosmic horror, ancient gods, and unimaginable horrors."
90556,"The Biology Of Belief explores the link between beliefs, biology, and personal transformation."
93251,"The October Country is about dark and haunting short stories that explore love, death, and the uncanny, creating a chilling reading experience."
21480854,"Empire of Night is about a protagonist's perilous journey in a dark and chaotic world, facing enemies and uncovering secrets."
14823980,A Fine Dessert explores the history and traditions of a delightful dessert through four centuries and four diverse families.
6562491,"The Point of Rescue is a psychological thriller about a woman who uncovers a dangerous secret, making her confront her past and face life-changing decisions."
3471257,Pan Lodowego Ogrodu. Tom 2 is the second book in a series.
93938,"A Letter of Mary explores the mystery of an ancient letter attributed to Mary, examining its impact on faith and history."
7347,"The Book of Lost Tales, Part One delves into the mythology and history of Middle-earth."
225274,"""Song and Dance Man"" is about the joy of performance and its enchantment for all ages."
24323739,The Opposite of Everyone is a book.
7992964,"""You're The One That I Don't Want"" is a journey of unexpected love, laughter, heartbreak, and self-discovery."
469571,All the Pretty Horses is about a Texan cowboy's transformative journey in Mexico.
855509,The Miracle of Dunkirk reveals the remarkable rescue of Allied soldiers from Dunkirk.
25938417,Children of Earth and Sky is about complex characters facing a world on the verge of war and peace.
84146,"Dark Side of the Moon delves into human psychology, exploring secrets, deceit, and redemption in an atmospheric narrative."
13539166,Bowl of Heaven follows a captivating expedition to an enigmatic world in the future.
344476,"Marrying Mozart explores love, music, and marriage in 18th century Vienna through four sisters."
53022,The Collected Poems of W.B. Yeats is a comprehensive collection of his poetry.
25024415,"King of Hearts is a medieval tale of power, love, and betrayal."
21936988,The Sin Eater's Daughter is about a book.
6095360,"The Magician is a biography of Paulo Coelho, delving into his life as a celebrated magician."
6070950,"""Bed of Roses"" is about a woman's journey in love, exploring the highs and lows of passion and heartbreak."
18453118,House of the Rising Sun is a compelling novel.
18453074,"""To Rise Again at a Decent Hour"" is a novel that delves into the existential crisis of a dentist questioning life's purpose and his own identity."
3047320,"""Sinner"" explores redemption and sin in a captivating story."
102715,Catilina's Riddle is a mysterious political novel.
7200351,No Mercy is a thrilling detective story about tracking down a cunning serial killer.
48308,"Vegan Planet features 400 unique recipes that cater to vegans and non-vegans, offering a variety of flavors from various cuisines."
15159,"Absolute Power delves into political corruption, power dynamics, and the consequences of unethical actions."
157669,The Distance Between Us explores love and longing across a significant distance.
8031168,"Delusions of Gender examines scientific evidence on sex differences, challenging misconceptions."
420403,Rosie's Walk is about a hen's stroll on a farm.
2299110,Acheron is about a mysterious character's inspiring journey of overcoming challenges and finding redemption.
7336,J.R.R. Tolkien: A Biography is about the life and achievements of J.R.R. Tolkien.
10398160,Bound by Night is the start of the intriguing Bound series.
9766078,"""El mapa del tiempo"" is a book that combines history and imagination to explore various time periods."
18453458,"""Blind Faith"" delves into belief's consequences and human resilience."
13457423,Highlander Most Wanted is a thrilling Scottish Highland love story.
226440,Come Back is about a challenging journey of a mother and daughter.
276384,"""Varcare la soglia della speranza"" is about exploring the inner strength needed to overcome obstacles and seek happiness through faith and hope."
16177217,"""Orenzi, 2"" is a thrilling sequel with suspenseful twists."
2168861,Weddings from Hell explores twisted and intense wedding stories.
15811559,The Plantagenets explores the influential dynasty that shaped England.
79985,Monster of God delves into the allure of man-eating predators in history and the human psyche.
1140698,Elizabeth and Her German Garden is about a woman's love for her garden in Germany.
74169,Facing Your Giants provides strategies to overcome life's challenges.
15803560,Daddy's Gone A Hunting explores a wealthy family's hidden truths after a devastating event.
79712,Babylon Rising is an exciting adventure exploring ancient civilizations and biblical enigmas.
13547967,"When Lightning Strikes is a thrilling book about a woman who gains a dangerous ability after surviving a lightning strike, leading her into a deadly conspiracy."
21888226,The Thief Taker is about a skilled thief catcher seeking justice.
139867,Lunch Poems is about finding beauty in everyday moments through contemporary poetry.
322617,"Twin of Ice is about secrets, romance, and a mysterious sibling bond."
298371,"The Taming of the Duke is about a duke and a woman, depicting a story of love, conflict, and personal growth."
357886,Your Erroneous Zones helps readers overcome negative beliefs for a fulfilling life.
142262,"""Revizor"" is a satirical play by Nikolai Gogol."
44766,Purple Cane Road is about a detective unraveling a family secret.
28296,W ou le souvenir d'enfance is about childhood memories.
46231,The Viking Portable Library: Dorothy Parker is a collection of works by Dorothy Parker.
25487124,Reeve's End is a suspenseful thriller that explores dark secrets and hidden agendas in a small town.
91724,La Vie secrete de Salvador Dali is about the hidden life of the artist.
1918305,The Geography of Bliss explores the happiest places worldwide.
152163,The Rommel Papers is about Erwin Rommel's documents and correspondence during World War II.
16113606,"""Of Beast and Beauty"" explores beauty and beastliness in a fantasy-romance tale."
28958920,"A Week of Mondays is about a girl repeating the same Monday, gaining new insights each time."
15808673,Assassin's Gambit is a thrilling tale of deceit and danger in a game of power.
552349,"""Hit or Myth"" uncovers truth of ancient legends and myths."
8069535,"Entice is a suspenseful tale with secrets, danger, and unexpected twists."
431321,And the Sea Will Tell is about a captivating trial following a mysterious double murder on a remote Pacific island.
50365,A Suitable Boy explores post-independence India through diverse characters.
192043,Vol 714 pour Sidney is about a group's thrilling adventure on a fateful flight to Sydney.
12349,My Year of Meats explores cultural differences through a cooking show.
220469,"Scott's Last Expedition is about the tragic Terra Nova Expedition to the South Pole, as documented in the personal journals of Robert Falcon Scott and his companions."
72228,"""Intruder in the Dust"" delves into the aftermath of a murder in a divided Southern town, exploring themes of race, identity, and the search for truth."
28485,Elven Star is the continuation of The Death Gate Cycle series.
28481,Dragon Wing is the beginning of The Death Gate Cycle series.
456496,"What Do You Say After You Say Hello? delves into human communication, guiding readers to forge meaningful connections."
10511555,"""Dracula's Guest"" is a chilling collection of gothic horror short stories by Bram Stoker."
171487,Midworld is about a young man's dangerous expedition on a planet filled with lethal creatures in order to find civilization.
24907318,Life With A Sprinkle Of Glitter explores the beauty of everyday life and encourages embracing positivity.
444381,The Princess and the Goblin is about a princess and a miner boy who join forces to defeat goblins.
251976,"The Conquest is a gripping tale of ambition, power, and conquest."
18378839,The Summer I Found You explores an unexpected bond between two people in a life-changing summer.
9893331,Twisted is a suspenseful thriller.
378639,The Many-Coloured Land is a captivating journey to a vibrant and mysterious world.
169503,Petey is a book title.
29488,"""Candy"" is about a young protagonist's journey of self-discovery through love and friendship."
31979,"Astonishing X-Men, Volume 1: Gifted is about mutant superheroes uniting against a dangerous threat."
953435,L'OEuvre au noir is about a book.
10302,The March of Folly explores historical irrational decisions by governments.
15755279,"The Intercept is a thrilling espionage novel with twists and turns, as an intelligence officer uncovers a dangerous global conspiracy."
8662836,Chain Reaction is a suspenseful novel with unexpected twists.
9535352,"Texas Gothic combines mystery, romance, and supernatural elements in a gripping novel set in Texas."
31377300,The Witchfinder's Sister explores 17th-century witch hunts.
6944032,Night Pleasures explores supernatural creatures and undying love.
2024223,Armageddon in Retrospect explores the consequences and impact of war through a collection of unpublished works.
114240,The Torrents of Spring is a novel.
18465566,This One Summer is about the transformative experiences of teenage friends during a lakeside summer vacation.
101911,"""Vinegar Hill (P.S.)"" explores family dynamics and societal expectations in a small community."
101914,"Red is for Remembrance explores love, loss, and mystery."
104813,"Pericles, Prince of Tyre is a play about the adventures and challenges faced by a prince as he navigates through shipwrecks, love, and loss, exploring themes of fate and love's transformative power."
23001504,Suddenly One Summer is about the events of a single summer in a coastal town.
18089930,"Innocent Blood explores a small community's dark secrets, revealing tragic consequences and the loss of innocence, challenging the concept itself."
45245,The Reality Dysfunction is a thought-provoking sci-fi novel.
6413374,"""Bldy"" is a gripping thriller with unexpected twists."
32532,"""On Becoming a Novelist"" is a guide to becoming a successful novelist."
29432729,"""Beautiful"" explores and celebrates the notion of beauty."
7081899,"""Hunted by the Others"" follows a dangerous pursuit by mysterious beings."
47122,Lady Oracle is a novel.
356525,"""La cité de la joie"" is a book."
8492,"""Prophet"" reflects on various aspects of life and human nature."
835623,"How the Mind Works explores the intricate complexities of the human mind, analyzing cognitive processes, perception, consciousness, and evolutionary foundations in an effort to understand our mental faculties."
2753843,"Revelations is an exciting story of secrets, prophecies, and a battle between good and evil."
289601,A Certain Slant of Light is a novel.
10914,Songs of the Humpback Whale is about relationships through five voices.
146123,Tintin et le lac aux requins is an exciting adventure with Tintin.
6393840,The Awakening is the start of the Leopard People series.
8909631,Assassin's Creed: Brotherhood is about a master assassin forming a brotherhood to combat the Templar Order in Renaissance Italy.
17601,The Will to Change examines masculinity's impact on men's vulnerability and love in relationships.
18281993,Letting Go is about finding inner peace through releasing attachments.
1219949,The Gift of Rain is a compelling novel.
30329,Snakecharm explores the mystical bond between humans and snakes.
100967,Abundance: A Novel of Marie Antoinette is a fictionalized portrayal of Marie Antoinette's captivating life.
7723,"Die Verwandlung und andere Erzählungen is a collection of stories by Franz Kafka, including the famous novella ""Die Verwandlung"" (The Metamorphosis) and other captivating tales."
744142,"Tunnel Vision is about a detective's obsessive pursuit of solving a perplexing murder, entangled in a web of secrets and deception."
281215,Hard Time is about the brutalities of prison life.
25177983,"Playing with Fire is a thrilling story of love, betrayal, and deception in the dangerous underworld of high-stakes gambling."
10381195,Moon Over Soho is a gripping mystery full of suspense.
2185113,Daemons Are Forever follows a protagonist's journey through a world of supernatural creatures and dark forces.
78275,The Wayward Bus is about the dynamics and struggles of a diverse group on a California bus journey.
8462668,The Midwife Of Venice follows a midwife in 16th century Venice aiding a persecuted Jewish couple.
2184798,Blood River is a journey through Africa's challenges and complexities.
18505832,Natchez Burning uncovers dark secrets and corruption in a racially tense southern town.
267792,"Wolverine: Weapon X is an action-packed adventure featuring Marvel's beloved character, Wolverine."
25814192,Tuesday Nights in 1980 is about the art scene in New York City during that year.
297480,Stone Cold is a thrilling exploration of crime and justice.
40190,A Good Year is about a banker who inherits a French vineyard and seeks a more fulfilling life.
54161,Among the Believers is a captivating exploration of Islamic beliefs and cultures.
539143,The World Doesn't End explores human resilience in uncertain times.
16045140,The Love Affairs of Nathaniel P. delves into protagonist's complex romantic relationships and emotional journey.
2163420,"""rabukon 3"" continues the heartwarming romantic comedy series."
93799,"Prince of Fire is about a prince tangled in political intrigue, power struggles, and forbidden love."
264225,The Sunrise Lands is about a post-apocalyptic world of adventure and danger.
7696564,Unraveled explores a group of friends unraveling secrets and lies surrounding a mysterious disappearance.
281235,Bunnicula is about a mysterious vampire rabbit and a family's adventures with their new pet.
420734,Open Season is a suspenseful mystery filled with twists and secrets in a small town.
35805,The Capture is a thriller.
23129923,"Fifteen Dogs explores identity, mortality, and human emotions through dogs given human consciousness."
110303,"""Slightly Tempted"" explores desire and hesitation in the face of temptation, balancing attraction with self-control."
529579,The Next 100 Years predicts the 21st century's future.
7669259,Everfound is a mysterious book title.
47956,Daughter of the Blood is a novel.
2977487,Succubus Dreams is about a young succubus struggling to balance her supernatural nature with her longing for a normal life.
17722973,The Enchantress Returns is about a powerful sorceress wreaking havoc and testing the protagonist's courage.
22529381,Dreamland is about America's opioid crisis and its devastating impact.
26795307,Moonglow is about a man's intriguing family history.
77038,Hornblower and the Atropos is a captivating historical fiction.
785413,The Hunting Wind is a thrilling investigation into a complex web of intrigue.
13418951,"Death, Doom and Detention is a suspenseful thriller."
13418955,"Death, and the Girl He Loves explores a young girl's complex relationship with death."
23200006,"Low, Volume 1 is about humanity's struggle for survival in a submerged future."
49221,A Grief Observed is a raw exploration of grief.
677552,The Selfish Giant teaches the importance of generosity.
21337,"Dean Koontz's Frankenstein: Prodigal Son follows Deucalion and Detective Carson O'Connor as they hunt down a new breed of serial killer, revealing a sinister plot that endangers the city."
770038,Is Your Mama A Llama? is a children's book.
23285822,"Mislaid is a thought-provoking exploration of identity, race, and family."
266350,Five Days in Paris is about chance encounters and unexpected connections in the romantic streets of Paris.
1077808,Shadow of a Bull is about a boy in a bullfighting family.
23270216,The Blackthorn Key is about an orphan boy unraveling secrets and solving puzzles in a dangerous secret society.
1738972,"The Believers is about a family's journey through faith, loss, and relationships."
13330444,"All That Is explores a veteran's journey through love, loss, and relationships."
18114494,A Circle of Wives is about three women connected by their shared husband.
5312123,The Warrior's Path is the first book in a trilogy called When Women Were Warriors.
18108877,Time's Twisted Arrow delves into time travel and its consequences.
26667719,"""Das goldene Garn"" explores characters' quests for fulfillment."
13501633,"""Midnight Blue-light Special"" is an intriguing book."
295654,"Curse of the Blue Tattoo is about the thrilling misadventures of Jacky Faber, a spirited midshipman."
343518,Hidden Agendas is part of the Tempting SEALs series.
236056,"""There's a Boy in the Girls' Bathroom"" is about a troubled boy's journey to self-acceptance."
617097,"""pther paaNcaalii"" is a book with an unconventional title."
15791144,"""Adulting"" offers 468 steps for young adults to navigate adulthood."
22749699,"Language Arts is a guide to language development covering reading, writing, grammar, and vocabulary."
13543138,"Blackberry Winter follows two women, revealing hidden connections and the power of love and resilience."
7500150,The Long Song explores the lives of Jamaican slaves under British rule.
538238,"The Body in the Belfry is about a thrilling investigation into a mysterious body found in a belfry, revealing hidden secrets."
21945590,Underwater is an exciting deep-sea adventure filled with suspense and enigma.
22898,The Probable Future is a mysterious and magical book about a family's journey of self-discovery.
14284,"""Who Do You Think You Are?"" examines identity and self-discovery."
12444297,"""Burned"" is a thrilling story of a woman entangled in deceit and danger after a tragic incident."
789344,"Encyclopedia Brown, Boy Detective follows the adventures of a young detective."
18079683,"Boy, Snow, Bird portrays the challenges of race, beauty, and identity in a tale of secrets and self-discovery."
6572,Suffer the Children is about the return of deceased children and the impact it has on a town.
3614157,This book does not have a valid title.
52872,"Flight: A Novel explores identity, memory, and personal transformation."
548260,Tik-Tok of Oz follows Tik-Tok's adventure with Dorothy in magical Oz.
9305362,"Captive Prince explores power, loyalty, and desire in a medieval fantasy world."
5062,"""Jackdaws"" is a historical thriller by Ken Follett."
2285386,"""Crime"" is a gripping tale of betrayal and suspense that explores the dark criminal underworld and the blurry lines between morality and justice."
99499,La Louve de France is a medieval historical novel.
18730589,"""1177 B.C.: The Year Civilization Collapsed"" analyzes the collapse of major civilizations in the late Bronze Age."
325398,The Tyranny of the Night examines power and control in a dystopian society.
26073155,The Bricks That Built the Houses is about diverse lives in a changing urban landscape.
8015504,Deceived is a thrilling sequel filled with deception and epic battles.
77514,Cold Is the Grave is a chilling thriller exploring the depths of the human psyche.
18025,"""Something New"" explores challenges and opportunities in uncharted territories."
18090121,Under a Silent Moon unravels the secrets of a seemingly serene town in a gripping mystery thriller.
24235201,"Numero zero explores journalism and conspiracy theories, revealing hidden truths."
325841,"Baby, I'm Yours is a passionate romance novel."
402014,"""It's OK, I'm Wearing Really Big Knickers!"" is a humorous book that follows the funny and awkward experiences of Georgia Nicolson as she deals with teenage life, friendships, and the quest for a perfect kiss."
6947702,Citizens of London chronicles Americans supporting Britain during its darkest times.
12807506,How to Get into the Twin Palms is a guide to gaining access to the exclusive Twin Palms.
476495,Catch A Mate discusses strategies for finding romantic partners.
1301,Moneyball is about Oakland Athletics' data-driven approach to win in baseball against big-budget teams.
17182499,Illusive is a captivating mystery book.
116254,Mind of My Mind delves into the life of a powerful young woman navigating dual realities.
278854,The Purloined Letter is a detective fiction by Edgar Allan Poe.
1434923,The Christmas Miracle of Jonathan Toomey is a heartwarming tale of personal change during Christmas.
179182,"The Light at the End is about strangers trapped in an underground tunnel, fighting to uncover the truth and escape."
45133,"Acid Row delves into the dire aftermath of a crime spree, unraveling the tight-knit community's chaos."
20558124,Thorn is about a young woman's perilous and enchanting journey.
77276,A Swiftly Tilting Planet is a captivating fantasy novel.
219408,The Young Unicorns is a fiction book.
27213193,The Retreat is about friends who experience a terrifying vacation.
186709,Dead Connection is about a detective investigating a series of murders connected to the dark side of the internet.
860560,"The Clue of the Broken Locket is a mystery where Nancy Drew and her friends investigate a broken locket, revealing hidden secrets."
4999,Iron Kingdom traces the rise and fall of Prussia from 1600 to 1947.
706476,"Absolution by Murder is about Sister Fidelma solving a murder at a medieval gathering, facing political intrigues and religious tensions."
5147134,"""VuanpaiaQi Shi 8"" is a captivating tale filled with adventure and magic."
106022,Beautiful Child explores the complexities of motherhood and the lengths parents go to protect their child.
8058609,Geist is a mysterious journey of uncovering a haunting presence.
72819,The Cat Who Dropped a Bombshell is about a mysterious cat that becomes the focus of unforeseen events.
73089,Match Me If You Can is about a matchmaker confronting unexpected challenges in finding a perfect match.
821000,Now We Are Six is a collection of poems by A.A. Milne.
16222,Hot Number is a thrilling book filled with suspense.
25903764,Ghosts is about the supernatural world.
5290996,"""Truth"" explores the complexities and impact of truth in our lives."
152931,Must Love Dogs is about the challenges of dating for dog lovers.
